driver_number,date,meeting_key,position,session_key
27,2024-04-20 02:18:33.816000+00:00,1233,13,9672
31,2024-04-20 02:18:33.816000+00:00,1233,17,9672
44,2024-04-20 02:18:33.816000+00:00,1233,2,9672
55,2024-04-20 02:18:33.816000+00:00,1233,5,9672
63,2024-04-20 02:18:33.816000+00:00,1233,11,9672
77,2024-04-20 02:18:33.816000+00:00,1233,9,9672
81,2024-04-20 02:18:33.816000+00:00,1233,8,9672
1,2024-04-21 06:08:21.209000+00:00,1233,1,9673
2,2024-04-21 06:08:21.209000+00:00,1233,20,9673
3,2024-04-21 06:08:21.209000+00:00,1233,12,9673
4,2024-04-21 06:08:21.209000+00:00,1233,4,9673
10,2024-04-21 06:08:21.209000+00:00,1233,15,9673
11,2024-04-21 06:08:21.209000+00:00,1233,2,9673
14,2024-04-21 06:08:21.209000+00:00,1233,3,9673
16,2024-04-21 06:08:21.209000+00:00,1233,6,9673
18,2024-04-21 06:08:21.209000+00:00,1233,11,9673
20,2024-04-21 06:08:21.209000+00:00,1233,17,9673
22,2024-04-21 06:08:21.209000+00:00,1233,19,9673
23,2024-04-21 06:08:21.209000+00:00,1233,14,9673
24,2024-04-21 06:08:21.209000+00:00,1233,16,9673
27,2024-04-21 06:08:21.209000+00:00,1233,9,9673
31,2024-04-21 06:08:21.209000+00:00,1233,13,9673
44,2024-04-21 06:08:21.209000+00:00,1233,18,9673
55,2024-04-21 06:08:21.209000+00:00,1233,7,9673
63,2024-04-21 06:08:21.209000+00:00,1233,8,9673
77,2024-04-21 06:08:21.209000+00:00,1233,10,9673
81,2024-04-21 06:08:21.209000+00:00,1233,5,9673
1,2024-05-04 15:20:02.064000+00:00,1234,1,9506
2,2024-05-04 15:20:02.064000+00:00,1234,18,9506
3,2024-05-04 15:20:02.064000+00:00,1234,4,9506
4,2024-05-04 15:20:02.064000+00:00,1234,9,9506
10,2024-05-04 15:20:02.064000+00:00,1234,16,9506
11,2024-05-04 15:20:02.064000+00:00,1234,3,9506
14,2024-05-04 15:20:02.064000+00:00,1234,8,9506
16,2024-05-04 15:20:02.064000+00:00,1234,2,9506
18,2024-05-04 15:20:02.064000+00:00,1234,7,9506
20,2024-05-04 15:20:02.064000+00:00,1234,14,9506
22,2024-05-04 15:20:02.064000+00:00,1234,15,9506
23,2024-05-04 15:20:02.064000+00:00,1234,20,9506
24,2024-05-04 15:20:02.064000+00:00,1234,17,9506
27,2024-05-04 15:20:02.064000+00:00,1234,10,9506
31,2024-05-04 15:20:02.064000+00:00,1234,13,9506
44,2024-05-04 15:20:02.064000+00:00,1234,12,9506
55,2024-05-04 15:20:02.064000+00:00,1234,5,9506
63,2024-05-04 15:20:02.064000+00:00,1234,11,9506
77,2024-05-04 15:20:02.064000+00:00,1234,19,9506
81,2024-05-04 15:20:02.064000+00:00,1234,6,9506
1,2024-05-05 19:07:45.052000+00:00,1234,1,9507
2,2024-05-05 19:07:45.052000+00:00,1234,17,9507
3,2024-05-05 19:07:45.052000+00:00,1234,20,9507
4,2024-05-05 19:07:45.052000+00:00,1234,5,9507
10,2024-05-05 19:07:45.052000+00:00,1234,12,9507
11,2024-05-05 19:07:45.052000+00:00,1234,4,9507
14,2024-05-05 19:07:45.052000+00:00,1234,15,9507
16,2024-05-05 19:07:45.052000+00:00,1234,2,9507
18,2024-05-05 19:07:45.052000+00:00,1234,11,9507
20,2024-05-05 19:07:45.052000+00:00,1234,18,9507
22,2024-05-05 19:07:45.052000+00:00,1234,10,9507
23,2024-05-05 19:07:45.052000+00:00,1234,14,9507
24,2024-05-05 19:07:45.052000+00:00,1234,19,9507
27,2024-05-05 19:07:45.052000+00:00,1234,9,9507
31,2024-05-05 19:07:45.052000+00:00,1234,13,9507
44,2024-05-05 19:07:45.052000+00:00,1234,8,9507
55,2024-05-05 19:07:45.052000+00:00,1234,3,9507
63,2024-05-05 19:07:45.052000+00:00,1234,7,9507
77,2024-05-05 19:07:45.052000+00:00,1234,16,9507
81,2024-05-05 19:07:45.052000+00:00,1234,6,9507
1,2024-05-19 12:07:43.950000+00:00,1235,1,9515
2,2024-05-19 12:07:43.950000+00:00,1235,19,9515
3,2024-05-19 12:07:43.950000+00:00,1235,9,9515
4,2024-05-19 12:07:43.950000+00:00,1235,2,9515
